Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Dante Exum,PG,28,DAL,15,0,10.3,1.9,3.9,.492,0.2,1.0,.200,1.7,2.9,.591,.517,0.3,0.5,.571,0.5,1.9,2.3,1.4,0.3,0.1,0.2,1.1,4.3,2024
Bruno Fernando,C,25,ATL,4,0,3.0,0.5,0.8,.667,0.0,0.3,.000,0.5,0.5,1.000,.667,0.3,0.3,1.000,0.3,0.0,0.3,0.0,0.0,0.0,0.8,0.5,1.3,2024
Dorian Finney-Smith,PF,30,BRK,15,14,31.1,4.3,8.8,.485,2.7,6.1,.451,1.5,2.7,.561,.640,0.1,0.2,.333,1.9,3.4,5.3,1.5,0.3,0.6,1.0,2.3,11.3,2024
Malachi Flynn,PG,25,TOR,16,0,17.1,2.2,4.8,.461,1.0,2.6,.381,1.2,2.1,.559,.566,0.6,0.9,.714,0.5,1.4,1.9,2.3,0.8,0.2,1.1,1.5,6.0,2024
Simone Fontecchio,SF,28,UTA,14,1,14.1,2.1,4.5,.476,1.4,3.3,.413,0.8,1.2,.647,.627,0.1,0.1,1.000,0.7,1.2,1.9,0.4,0.2,0.4,1.0,1.1,5.8,2024
Jordan Ford,PG,25,SAC,4,0,3.0,0.5,1.3,.400,0.3,0.5,.500,0.3,0.8,.333,.500,0.5,0.5,1.000,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,1.8,2024
Trent Forrest,SG,25,ATL,3,0,9.0,0.3,1.0,.333,0.0,0.0,,0.3,1.0,.333,.333,0.7,0.7,1.000,0.3,0.0,0.3,2.3,0.0,0.0,0.3,0.7,1.3,2024
Evan Fournier,SG,31,NYK,1,0,16.0,1.0,6.0,.167,0.0,4.0,.000,1.0,2.0,.500,.167,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2024
De'Aaron Fox,PG,26,SAC,10,10,35.6,10.7,22.3,.480,3.2,8.6,.372,7.5,13.7,.547,.552,5.3,7.0,.757,1.0,3.3,4.3,6.0,1.6,0.3,1.9,2.9,29.9,2024
Alex Fudge,SF,20,LAL,1,0,4.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
Markelle Fultz,PG,25,ORL,5,5,28.6,5.4,11.2,.482,0.0,0.6,.000,5.4,10.6,.509,.482,0.6,0.8,.750,1.6,1.8,3.4,4.0,1.2,0.4,1.2,1.2,11.4,2024
Daniel Gafford,C,25,WAS,14,14,24.7,4.1,6.0,.690,0.0,0.0,,4.1,6.0,.690,.690,1.4,2.1,.633,2.6,4.9,7.6,1.3,0.6,1.9,1.2,3.4,9.6,2024
Danilo Gallinari,PF,35,WAS,14,0,15.4,2.6,5.7,.463,0.7,2.4,.294,1.9,3.3,.587,.525,1.6,2.1,.793,0.6,2.6,3.2,1.6,0.2,0.2,0.4,0.9,7.6,2024
